id,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
104,Italy,"Made with 65% Sangiovese, 20% Merlot and 15% Cabernet Sauvignon, this has subtle aromas of black-skinned fruit and thyme. The easygoing palate delivers black cherry and cinnamon alongside smooth tannins.",Nativo,87,16,Tuscany,Toscana,NA,Kerin O’Keefe,@kerinokeefe,Madonna Alta 2014 Nativo Red (Toscana),Red Blend,Madonna Alta
112,Italy,"Made with 90% Merlot and 10% Alicante, this easygoing red opens with delicate aromas suggesting red currant and baking spice. The straightforward palate delivers red plum and clove alongside soft tannins. Enjoy soon.",Semifonte,87,15,Tuscany,Toscana,NA,Kerin O’Keefe,@kerinokeefe,Podere Ciona 2014 Semifonte Red (Toscana),Red Blend,Podere Ciona
173,US,"This wine is bursting with gorgeous cherry fruit, forward and luscious. The tannins are ripe and the acids in perfect proportion, keeping the fruit flavors buoyed upon a textural ride into a lingering finish.",NA,91,38,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Le Cadeau 2014 Pinot Noir (Willamette Valley),Pinot Noir,Le Cadeau
538,US,"This is sourced from 30-year-old Wädenswil vines from a vineyard in the Elkton AVA. It's complex and compelling, showing layers of stone, strawberry, citrus, chocolate and sassafras. It's an elegant wine, well proportioned and modest in scope, but delicious.",Bradley Vineyard,91,45,Oregon,Umpqua Valley,Southern Oregon,Paul Gregutt,@paulgwine ,Paul O'Brien 2014 Bradley Vineyard Pinot Noir (Umpqua Valley),Pinot Noir,Paul O'Brien
651,France,"Subtle notes of clean, fresh lemon zest promise pleasure, the palate reveals a far riper aspect of fresh red apple and baked apples. The dry palate remains zingy and clean and provides ample textured freshness. The effect is that of fresh apple sorbet.",Pfersigberg Grand Cru,92,39,Alsace,Alsace,NA,Anne Krebiehl MW,@AnneInVino,Kuentz-Bas 2014 Pfersigberg Grand Cru Riesling (Alsace),Riesling,Kuentz-Bas
666,US,"This warm-vintage wine is more aromatically reticent than recent vintages, with notes of stone fruit, slate and mineral. It drinks a hair off dry, with depth to the lightly spritzy fruit flavors and razor-sharp acidity.",NA,90,20,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Poet's Leap 2014 Riesling (Columbia Valley (WA)),Riesling,Poet's Leap
806,US,"Very smooth, almost thick, this is a rich wine in flavor and mouthfeel. It practically oozes over the palate, dripping with ripe pineapple, vanilla and cream, and coats every corner of the mouth before lingering through a long finish. It's full bodied, soft and concentrated.",Small Lot,90,27,California,Sierra Foothills,Sierra Foothills,Jim Gordon,@gordone_cellars,Iron Hub 2014 Small Lot Chardonnay (Sierra Foothills),Chardonnay,Iron Hub
913,NA,"Amber in color, this wine has aromas of peach jam and orange blossom. Flavors are a mélange of mellow fruit and savory notes, in particular apricot, lemon curd, quince and bitter almond. Despite strong tannins, there are moments of brightness across the entire palate that linger into the finish.",Asureti Valley,87,30,NA,NA,NA,Mike DeSimone,@worldwineguys,Gotsa Family Wines 2014 Asureti Valley Chinuri,Chinuri,Gotsa Family Wines
930,Argentina,"Roasted, woodsy, rubbery aromas are gamy and staunch, with berry notes interspersed. Grabby, rubbery tannins make for a rugged palate, while roasted plum and gamy flavors are a touch salty. A tannic finish doesn't change much.",Alberti 154,87,15,Mendoza Province,Mendoza,NA,Michael Schachner,@wineschach,Bodega Calle 2014 Alberti 154 Malbec (Mendoza),Malbec,Bodega Calle
954,US,"Full-bodied and smooth in texture, this generous-tasting wine has lots of ripe plum flavors and sweet-seeming oak accents.",Reserve Bottling,87,15,California,Lodi,Central Valley,Jim Gordon,@gordone_cellars,Archgate Cellars 2014 Reserve Bottling Cabernet Sauvignon (Lodi),Cabernet Sauvignon,Archgate Cellars
1084,France,"The Meridian in the name is the zero-longitude Prime Meridian which passes through this vineyard. The wine, with its minty flavors from new-wood aging, is serious, concentrated and with an impressive structure. The dark firm character of this wine promises plenty more aging. Drink from 2020.",La Coulée du Méridien,94,120,Loire Valley,Saumur-Champigny,NA,Roger Voss,@vossroger,Château de Parnay 2014 La Coulée du Méridien  (Saumur-Champigny),Cabernet Franc,Château de Parnay
1342,US,"Blackberry and chocolate flavors intertwine nicely in this soft, round and bright red from a tiny site in the appellation. Lightly spiced with clove and cedar, it strikes a balance between fruit and tension, making it a food-friendly option that won't overpower in the glass.",NA,90,39,California,Sonoma Valley,Sonoma,Virginie Boone,@vboone,Doren 2014 Cabernet Sauvignon (Sonoma Valley),Cabernet Sauvignon,Doren
