id,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
263,US,"A very good Pinot Noir, rich in cherry, licorice, cola and spice flavors that are wrapped into firm tannins. It's on the forward side, trading complexity and nuance in favor of immediate gratification. Drink now–2014.",Monument,89,60,California,Santa Maria Valley,Central Coast,NA,NA,Byron 2009 Monument Pinot Noir (Santa Maria Valley),Pinot Noir,Byron
275,Argentina,"A medium-weight Cabernet with plum, prune, tobacco and herb aromas. Features average weight and body, with a creamy texture and layered flavors of black fruit, raspberry and spice. Finishes with herb and plum notes as well as a pinch of tobacco.",Reserva de Familia,89,30,Mendoza Province,Mendoza,NA,Michael Schachner,@wineschach,Sottano 2009 Reserva de Familia Cabernet Sauvignon (Mendoza),Cabernet Sauvignon,Sottano
298,Chile,"Foresty and dark on the bouquet, with aromas of licorice, prune, forest and foxiness. The palate is full and tannic, while flavors run sweet, creamy and slightly syrupy, with chocolate and spiced fig notes. Finishes rich and rough, with dry herbs and true Chilean Cab flavors of olive and oregano.",NA,87,19,Aconcagua Valley,NA,NA,Michael Schachner,@wineschach,Arboleda 2009 Cabernet Sauvignon (Aconcagua Valley),Cabernet Sauvignon,Arboleda
508,US,"This is a mix of fruit from both warm and cool vineyards, crafting a clean, fresh, lightly herbal wine with a pleasing dusty character. Hints of cocoa and toast annotate the tart berry fruit, with a thread of smoke and chalk running through the tannins.",NA,87,28,Washington,Yakima Valley,Columbia Valley,Paul Gregutt,@paulgwine ,Camaraderie 2009 Tempranillo (Yakima Valley),Tempranillo,Camaraderie
755,US,"Shows the perfect balance and varietal richness that Anderson Valley Gewürztraminers are known for. With crisp acidity, it has exotic flavors of Asian pears, candied pears, tangerines, gingersnap cookies and dusty spices, with a dry finish. Would score much higher if it were more concentrated.",NA,87,18,California,Anderson Valley,NA,NA,NA,Handley 2009 Gewürztraminer (Anderson Valley),Gewürztraminer,Handley
1519,Chile,"The nose is an attractive mix of cassis and mineral notes. The palate is more racy and wiry than dense and soft, with juicy, flashy flavors of berry, cherry and currant. Those notes all carry through to the long finish; drink from 2013–2018.",Terrunyo Vineyard Selection Block Las Terrazas Unfiltered,92,38,Maipo Valley,NA,NA,Michael Schachner,@wineschach,Concha y Toro 2009 Terrunyo Vineyard Selection Block Las Terrazas Unfiltered Cabernet Sauvignon (Maipo Valley),Cabernet Sauvignon,Concha y Toro
1577,US,"A triumph, one of the greatest Riverblock bottings in years. This always is a captivating wine, but the '09 is particularly scrumptious. Although it's quite tannic and acidic, it's forward enough in raspberries, cherries and cola to enjoy now. But it's bone dry and as elegant as California Pinot Noir gets. The balance suggests an ability to age for a good 10 years, if not longer.",Rochioli Riverblock Vineyard,96,78,California,Russian River Valley,Sonoma,NA,NA,Williams Selyem 2009 Rochioli Riverblock Vineyard Pinot Noir (Russian River Valley),Pinot Noir,Williams Selyem
1580,France,"Very supple wine, with great richness and density. It is all so complete, a pleasure, powerful yet also with sweet opulent fruits layered with dark tannins. For long-term aging.",NA,95,89,Bordeaux,Saint-Julien,NA,Roger Voss,@vossroger,Château Branaire-Ducru 2009  Saint-Julien,Bordeaux-style Red Blend,Château Branaire-Ducru
1879,France,"A wine that continues the impressive rise of du Tertre. It is becoming one of the sure values of Margaux, and this 2009 is both ripe and finely balanced. The acidity boosts the rich fruits, sweet tannins and the warm finish.",NA,93,47,Bordeaux,Margaux,NA,Roger Voss,@vossroger,Château du Tertre 2009  Margaux,Bordeaux-style Red Blend,Château du Tertre
1925,Italy,"This opens with evident oak aromas of toasted wood, espresso and coffee bean followed by underpinnings of black fruit and pepper. The palate shows ripe black fruit, espresso and oak. Although it has nice depth, the finish is cut short by by drying wood tannins.",Cannubi Boschis,87,50,Piedmont,Barolo,NA,Kerin O’Keefe,@kerinokeefe,Virna Borgogno 2009 Cannubi Boschis  (Barolo),Nebbiolo,Virna Borgogno
2128,US,"This is 75% Merlot, with Cabernet, Malbec and Syrah comprising the other 25%. Despite all of the components, it tastes like there is a bit of a hole. The fruit is soft and plummy, and the overall balance is excellent.",Reserve,88,45,Washington,Red Mountain,Columbia Valley,Paul Gregutt,@paulgwine ,Obelisco Estate 2009 Reserve Merlot (Red Mountain),Merlot,Obelisco Estate
2133,Italy,"Blackberry, tobacco and spice flavors give this an appropriate air of sophistication. It should pair with pizza or pasta.",Costalunga,88,10,Piedmont,Barbera d'Asti,NA,NA,NA,Bersano 2009 Costalunga  (Barbera d'Asti),Barbera,Bersano
2636,France,"Darkly tannic wine, packed with dryness. The result is firm at this stage, always likely to be full of tannins, but there is delicious fruit under this dryness.",NA,90,NA,Bordeaux,Pomerol,NA,Roger Voss,@vossroger,Château Lafleur-Gazin 2009  Pomerol,Bordeaux-style Red Blend,Château Lafleur-Gazin
2652,Portugal,"The aroma shines with Syrah perfumes, while the palate brings together great ripe perfumed and spiced fruit, smooth, rich and dense. There is just an earthy element that needs to soften over the next two years.",Templários Colheita Seleccionada,89,23,Tejo,NA,NA,Roger Voss,@vossroger,Quinta do Cavalinho 2009 Templários Colheita Seleccionada Red (Tejo),Touriga Nacional Blend,Quinta do Cavalinho
2657,France,"A wine from a château that is still finding its form . It is soft, open, with attractive juicy red fruits and black currants, ready to drink soon.",NA,89,38,Bordeaux,Saint-Émilion,NA,Roger Voss,@vossroger,Château Soutard 2009  Saint-Émilion,Bordeaux-style Red Blend,Château Soutard
2785,US,"Made from a bunch of different varieties, including Viognier and Pinot Grigio, this white blend is off-dry, with a sweet edge to the orange and peach fruit.",Ruckus,84,10,California,California,California Other,NA,NA,Lost Angel 2009 Ruckus White (California),White Blend,Lost Angel
2889,France,"A super-rich wine, almost over the top in its honeyed intensity. It is opulent, generous, packed with ripe yellow fruits, mango and pineapple. The wine is so rich that it is hard to find the acidity, but it is there in the orange marmalade flavor right at the end.",Les Melleresses,91,55,Loire Valley,Bonnezeaux,NA,Roger Voss,@vossroger,Château la Varière 2009 Les Melleresses  (Bonnezeaux),Chenin Blanc,Château la Varière
3008,US,"A hint of mint can be detected in the opening aromas of this Merlot, which includes a splash of Cabernet Franc in the blend. Licorice, smoke and deep cassis flavors all contribute to an intense, seductive wine, with velvety tannins enrobing a lingering finish.",NA,93,30,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Forgeron 2009 Merlot (Columbia Valley (WA)),Merlot,Forgeron
3215,US,"Sourced from dry farmed, organic vines planted in 1918, Carol Shelton's Monga is a mouthful of a wine, layered with cinnamon spice, blueberry, chocolate and oak, and still very concentrated and dry, with room to grow and mellow.","Monga Zin, Lopez Vineyard",88,21,California,Cucamonga Valley,South Coast,Virginie Boone,@vboone,"Carol Shelton 2009 Monga Zin, Lopez Vineyard Zinfandel (Cucamonga Valley)",Zinfandel,Carol Shelton
3530,Italy,"A fragrant Barolo, showing intense rose and violet aromas with undertones of red fruits and spice. The palate delivers dense dark cherry, white pepper and mint flavors, with a hint of vanilla. It's long and linear but still young, with aggressive tannins that need time to mellow.",Costa Grimaldi,92,92,Piedmont,Barolo,NA,Kerin O’Keefe,@kerinokeefe,Poderi Luigi Einaudi 2009 Costa Grimaldi  (Barolo),Nebbiolo,Poderi Luigi Einaudi
3532,Australia,"Vasse Felix's impressively consistent track record with Cabernet continues with the 2009, a mouth-filling, supple wine that still retains a modicum of structure. Bold cassis fruit is balanced by earthy, meaty complexity and finishes long and mouthwatering. Drinkable now, but it should hold easily through 2020, and possibly longer.",NA,92,38,Western Australia,Margaret River,NA,Joe Czerwinski,@JoeCz,Vasse Felix 2009 Cabernet Sauvignon (Margaret River),Cabernet Sauvignon,Vasse Felix
3681,Chile,"Not disappointing given the price. There's some toast and tropical fruit on the nose, and then pineapple and mango flavors. The acidity runs a bit sharp, but overall this is a reasonable, warm-climate, tropical Chard for the money.",Reserva,84,9,Colchagua Valley,NA,NA,Michael Schachner,@wineschach,Luis Felipe Edwards 2009 Reserva Chardonnay (Colchagua Valley),Chardonnay,Luis Felipe Edwards
3722,Portugal,"A ripe wine from the Real Companhia Velha, this shows a rich character, its tannins ripe and generous. It's not a huge wine, but it does show a fine, full-bodied flavor of sweet plum. The final feeling is smooth and opulent.",Vintage,88,60,Port,NA,NA,Roger Voss,@vossroger,Royal Oporto 2009 Vintage  (Port),Port,Royal Oporto
