id,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
184,US,"This is a typical Sonoma Coast Chard in the bright acidity that firms up the ripe, long hangtime flavors. Pineapples, pears, peaches, nectarines and subtle papaya notes are joined with buttercream and cinnamon spices. Drink now.",NA,88,35,California,Sonoma Coast,Sonoma,NA,NA,Anaba 2007 Chardonnay (Sonoma Coast),Chardonnay,Anaba
305,US,"Muted at first, this wine opens up nicely with time. Sweet, ripe and easy on the finish, its core is full of black pepper and clove. The grapes are sourced from several distinctive vineyards in Mendocino County. Drink it with a steak.",NA,87,24,California,Mendocino County,NA,Virginie Boone,@vboone,Claudia Springs 2007 Zinfandel (Mendocino County),Zinfandel,Claudia Springs
321,Italy,This Brut interpretation of Prosecco (“Brut” means it tastes dry in the mouth) offers tangy fizz and soda-like intensity backed by subdued aromas of white mineral and stone fruit. Pair it with puff pastry appetizers.,Brut,86,16,Veneto,Prosecco di Valdobbiadene,NA,NA,NA,Sant Eurosia 2007 Brut  (Prosecco di Valdobbiadene),Prosecco,Sant Eurosia
771,US,"A beautiful sparkling wine that shows the Iron Horse signature of balanced elegance. The lime, raspberry, vanilla and brioche flavors are rich and intricate, but particularly lovely is the texture, which is soft and silky.",Ocean Reserve,92,40,California,Green Valley,Sonoma,NA,NA,Iron Horse 2007 Ocean Reserve Sparkling (Green Valley),Sparkling Blend,Iron Horse
1484,New Zealand,"Shows plenty of weight on the palate, but also an overall lack of intensity to its slightly vegetal—green pea—flavors. Still, there's enough passion fruit and grapefruit to provide a sense of balance and a crisp, clean finish.",Arona,85,11,Marlborough,NA,NA,Joe Czerwinski,@JoeCz,Barker's Marque 2007 Arona Sauvignon Blanc (Marlborough),Sauvignon Blanc,Barker's Marque
1497,Argentina,"Timing is everything with this full-bodied PG. Get at it right away and it will still be almost viscous, but it should also show ripe tropical fruit flavors, core acidity and lots of personality. Just don't let it hang around for long, especially not at room temperature.",NA,85,8,Mendoza Province,Mendoza,NA,Michael Schachner,@wineschach,Santa Julia 2007 Pinot Grigio (Mendoza),Pinot Grigio,Santa Julia
2066,US,"You want black pepper? You'll get plenty of it in this dry, interesting Rhône blend of Mourvèdre and Syrah. It has briary flavors of wild blackberries, with an edge of leather, tobacco and herbs, and is thoroughly dry. Pretty tannic, too. An interesting wine, and one to watch.",River of Skulls Dalton Vineyard,90,35,California,Calaveras County,Sierra Foothills,NA,NA,Twisted Oak 2007 River of Skulls Dalton Vineyard Red (Calaveras County),Rhône-style Red Blend,Twisted Oak
2073,US,"Tangy berry/black cherry fruit is backed with lots of acid and hints of earthy funk. It's not vegetal but it is definitely herbal, a complex and flavorful reserve that falls right between Balboa's regular Syrah and the Sayulita.",Reserve,90,28,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Balboa 2007 Reserve Red (Columbia Valley (WA)),Red Blend,Balboa
2255,US,"Rich, savory and appealing now for its smooth texture and forward flavors of cherries, raspberries, blackberries and oak. A lovely wine for grilled steaks and chops.",NA,87,25,California,Napa Valley,Napa,NA,NA,X 2007 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,X
2684,Italy,"This muscular Amarone has an almost overripe fragrance, along with chocolate and vanilla notes. The alcohol is forward on the palate, but it also delivers sweet plum, prune and black pepper flavor, with hints of vanilla and coffee. This is direct and powerfully structured.",Sergio Zenato Riserva,90,125,Veneto,Amarone della Valpolicella Classico,NA,Kerin O’Keefe,@kerinokeefe,Zenato 2007 Sergio Zenato Riserva  (Amarone della Valpolicella Classico),Red Blend,Zenato
3085,Italy,"Instead of brawn and muscle, this ruby Ripasso offers elegance and finesse. The nose is redolent of polished black stone, Indian spice and loads of dried cassis and wild berry. There's a playful hint of sweet almond and cinnamon at the end.",Le Quare,88,16,Veneto,Valpolicella Classico Superiore Ripasso,NA,NA,NA,Gamba 2007 Le Quare  (Valpolicella Classico Superiore Ripasso),"Corvina, Rondinella, Molinara",Gamba
3271,Portugal,"Not many wines come from Bucelas today, as its vineyards get eaten up by the northern Lisbon suburbs. This Arinto-based wine suggests there should be some more of this ultra-crisp white, which bears a passing resemblance to a Vinho Verde in its super-fresh apple and grapefruit flavors.",Prova Régia,87,10,Bucelas,NA,NA,Roger Voss,@vossroger,Companhia das Quintas 2007 Prova Régia Arinto (Bucelas),Arinto,Companhia das Quintas
3273,Portugal,"An attractive salmon pink-colored wine, very fresh, with bright red currant acidity, fleshed out with some caramel, raspberry and a dash of red apple skins texture.",Casa do Lago Rosé,87,10,Estremadura,NA,NA,Roger Voss,@vossroger,DFJ Vinhos 2007 Casa do Lago Rosé Touriga Nacional (Estremadura),Touriga Nacional,DFJ Vinhos
3327,Italy,"Clove and dark Indian spice is the protagonist here and background aromas of cherry and moist earth play supporting roles. The wine is smooth and soft in the mouth with a bright, zesty close.",Le Vespe,87,NA,Tuscany,Toscana,NA,NA,NA,Giuliano Tiberi 2007 Le Vespe Sangiovese (Toscana),Sangiovese,Giuliano Tiberi
