id,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
394,Chile,"Smooth smelling, with pure and fresh berry and plum aromas. Very young and a bit tangy on the palate, with cherry and berry flavors and an oaky, soft finish that goes sweet then sour, and lasts for a long time. In terms of structure, it's balanced, mildly tannic, yet meant for drinking now.",Reserva,87,12,Maipo Valley,NA,NA,Michael Schachner,@wineschach,Undurraga 2001 Reserva Merlot (Maipo Valley),Merlot,Undurraga
2696,US,"From an emerging Mendocino appellation, an engaging, dry wine. Its mouth-cleansing acidity is fresh and clean, highlighting pretty flavors of lime and honeydew, and leads to a tart finish.",NA,87,14,California,Redwood Valley,NA,NA,NA,Lolonis 2001 Fumé Blanc (Redwood Valley),Fumé Blanc,Lolonis
2705,Chile,"Heavy and gold in color, with aromas of browned butter, wheat and corn cakes. The bouquet and color are heavy, and so is the palate: There you get oak barrel and toast, but little to no fruit. Even the finish is woody, with just a hint of melon and banana. A good experimental wine for those eager to taste oak; otherwise steer clear.",NA,87,8,Rapel Valley,NA,NA,Michael Schachner,@wineschach,Viña Santa Monica 2001 Chardonnay (Rapel Valley),Chardonnay,Viña Santa Monica
2718,Chile,"Solid and sturdy, and more big than small, this Syrah runs toward the red-fruit spectrum. But the nose offers dried fruit, herbs and clove, while there's more clove and fennel underneath the fruit on the palate. There's oak throughout, especially on the finish, but it's not overdone. And if many Syrah-based wines need time to settle, this one seems made for immediate drinking.",Alpha,87,20,Curicó Valley,NA,NA,Michael Schachner,@wineschach,Montes 2001 Alpha Syrah (Curicó Valley),Syrah,Montes
7596,Chile,"Tight and oaky in the nose, with some funky green notes. The palate is a bit herbal and mildly vegetal, but there's also some cherry fruit and spice. The texture on the finish is the high point, but the vegetal flavor at the wine's core is a sore point.",Estate Bottled,83,6,Maipo Valley,NA,NA,Michael Schachner,@wineschach,Casa Rivas 2001 Estate Bottled Carmenère (Maipo Valley),Carmenère,Casa Rivas
10841,Italy,"The 2001 vintage shows well in this expressive Barolo that does a great job of communicating territory and tradition. Mineral notes play against dried fruit, currants and exotic spice. In the mouth, the wine exhibits pulp and density with excellent power over a compact, lean feel. Drink it with important meat or pasta dishes.",La Rocca e la Pira,90,60,Piedmont,Barolo,NA,NA,NA,Roagna 2001 La Rocca e la Pira  (Barolo),Nebbiolo,Roagna
13035,Italy,"Here's a modern, oak-driven Taurasi that puts an emphasis on spice and chocolate aromas, although the black cherry and blackberry preserves are evident in the background. This is a firm, solid and sophisticated wine that would pair with braised lamb in a truffle sauce.",Riserva CampoRe,92,70,Southern Italy,Taurasi,NA,NA,NA,Terredora 2001 Riserva CampoRe  (Taurasi),Aglianico,Terredora
25646,Australia,"This is a lean, fresh Riesling with white stone fruit at its core. Grass and mineral—even waxy—flavors freshen up the palate, and floral and saffron notes waft from the nose. Lemon rind and viscous sour apple flavors linger on the finish. For this range of flavors to work in harmony, you surely must count elegance and subtlety among its virtues.",Watervale,90,19,South Australia,Clare Valley,NA,NA,NA,Mitchell 2001 Watervale Riesling (Clare Valley),Riesling,Mitchell
31087,Spain,"A little baked and flat smelling, with licorice and stewed fruit aromas. Sounds kind of dark and heavy, right? But the palate runs to the thin side, with lean but pure raspberry and cherry flavors. Vitality and snap are its virtues; not much depth or character are its fallbacks.",Reserva,86,15,Northern Spain,Rioja,NA,Michael Schachner,@wineschach,Marques de Arienzo 2001 Reserva  (Rioja),Tempranillo,Marques de Arienzo
33309,Spain,"If you like old-fashioned country fruit supported by a forest's worth of oak, then this is probably up your alley. It's a rusty, aging wine with mossy, murky aromas of roast plum and carob. The palate is fading in terms of fruit, but there's a whole lot of vanilla, dill and resin in wait. Still lively but a little too oaky and thin.",NA,85,69,Central Spain,Vino de la Tierra de Castilla,NA,Michael Schachner,@wineschach,Vitis Terrarum 2001 Tempranillo (Vino de la Tierra de Castilla),Tempranillo,Vitis Terrarum
