id,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
74,US,This is the producer's first release of this wine. Fruity aromas of plum and tart cranberry add to its overall sense of lightness and understatement.,Estate Grown,86,55,California,Calistoga,Napa,Virginie Boone,@vboone,Hindsight 2012 Estate Grown Petite Sirah (Calistoga),Petite Sirah,Hindsight
437,US,"Blended from all five Bordeaux varieties, with Cabernet Sauvignon and Merlot almost equal in proportion, this is a lovely, well-crafted wine, softly concentrated with highlights of licorice, lavender, violets and black pepper. From three ranches farmed by the family, it's both seamless and structured.",Henry's Blend,89,54,California,Alexander Valley,Sonoma,Virginie Boone,@vboone,Trione 2012 Henry's Blend Red (Alexander Valley),Bordeaux-style Red Blend,Trione
438,Spain,"Fresh, focused and tight on the nose, with an undertone of mild oak and earth, this gets going with ease. A fresh, fruity palate is just rugged enough, while flavors of black plum, cherry, licorice and herbs finish toasty, spicy and firm.",Século,89,15,Northern Spain,Bierzo,NA,Michael Schachner,@wineschach,Vinos de Arganza 2012 Século Mencía (Bierzo),Mencía,Vinos de Arganza
443,US,"Berry crumble and licorice star in this full-bodied, hearty and smooth wine, blended with 4% Petite Sirah. Spicy oak and milk chocolate unleash further flavor and spice on the finish.",Estate Grown,88,32,California,Sonoma Valley,Sonoma,Virginie Boone,@vboone,Dunbar 2012 Estate Grown Zinfandel (Sonoma Valley),Zinfandel,Dunbar
461,US,"A marvelous Pinot Blanc, this combines aromatic hints of almond with mixed citrus fruit and rind, zippy acidity and a great wash of minerality. It cleanses and tickles the palate, lingering sensuously through a finish of surprising depth.",Stoller Vineyards,92,29,Oregon,Dundee Hills,Willamette Valley,Paul Gregutt,@paulgwine ,Chehalem 2012 Stoller Vineyards Pinot Blanc (Dundee Hills),Pinot Blanc,Chehalem
643,US,"Creamy in texture and floral in aroma, this is a lovely and well-integrated white wine, with well-crafted characteristics of pear and honeyed apple. Medium bodied, it'll pair well at the table and on its own.",NA,92,60,California,Sonoma Coast,Sonoma,Virginie Boone,@vboone,Melhill 2012 Chardonnay (Sonoma Coast),Chardonnay,Melhill
847,France,"The Pinot-ness of this wine is undeniable: its structure is of velvet, and its aromas convey freshly turned earth, autumnal oak leaf and subdued red-cherry fruit. There is a depth that evokes deep forests. Have this with furred or feathered game.",Galets Oligocène,90,33,Alsace,Alsace,NA,Anne Krebiehl MW,@AnneInVino,Domaine Bott-Geyl 2012 Galets Oligocène Pinot Noir (Alsace),Pinot Noir,Domaine Bott-Geyl
917,Italy,"This has aromas suggesting grilled herb, toasted oak, espresso and a whiff of wet animal fur. The palate offers dried cherry, game, anisette and a green note of bitter sage alongside extremely astringent tannins.",Bussia,87,50,Piedmont,Barolo,NA,Kerin O’Keefe,@kerinokeefe,Deltetto 2012 Bussia  (Barolo),Nebbiolo,Deltetto
931,Italy,"Berry, menthol and a hint of espresso aromas lead the way while the straightforward palate shows mature black-skinned berry, coffee and a hint of licorice. It's already approachable. Drink through 2020.",NA,87,35,Piedmont,Barolo,NA,Kerin O’Keefe,@kerinokeefe,Borgogno F.lli Serio e Battista 2012  Barolo,Nebbiolo,Borgogno F.lli Serio e Battista
1133,France,Too enthusiastic use of wood has left this wine bereft of fruit and unbalanced.,NA,84,20,Bordeaux,Médoc,NA,Roger Voss,@vossroger,Château Monfort Bellevue 2012  Médoc,Bordeaux-style Red Blend,Château Monfort Bellevue
1136,US,"This Zinfandel-dominant blend also contains Cabernet Franc and Petite Sirah in sizable amounts, rounded out by a handful of Merlot. Relatively light bodied, it has a muted nose. The flavors lean towards overripe, more dried fruit than fresh.",NA,84,27,California,Napa Valley,Napa,Virginie Boone,@vboone,Experience 2012 Red (Napa Valley),Red Blend,Experience
1762,US,"This juicy red wine offers thick layers of black pepper and blueberry around sturdy oak. However, its opulent beginnings start to thin on the midpalate, veering into sour flavors and a touch of heat.",NA,84,37,California,Napa Valley,Napa,Virginie Boone,@vboone,V. Sattui 2012 Malbec (Napa Valley),Malbec,V. Sattui
1828,Spain,"Oaky, jammy aromas are wayward and slightly green. This blend of Tempranillo and Monastrell delivers heavy tannins on a widespread but unfocused palate. Oaky, drying berry flavors are more bitter than fruity, while the finish is choppy in feel and woody in taste.",Alcanta Crianza,84,16,Levante,Alicante,NA,Michael Schachner,@wineschach,Bocopa 2012 Alcanta Crianza Red (Alicante),Red Blend,Bocopa
2022,Italy,"This vibrant wine begins with aromas of apples, stone fruit and mineral. The savory palate offers ripe Bartlett pear, citrus and peach alongside bright acidity. It closes on a bitter almond note.",San Vigilio,87,NA,Lombardy,Lugana,NA,Kerin O’Keefe,@kerinokeefe,Selva Capuzza 2012 San Vigilio  (Lugana),Turbiana,Selva Capuzza
2142,France,"The wine is lean for the vintage, tight and with an austere structure. Its tannins and juicy red fruits are in the background. The aftertaste is dry and firm.",Carpe Diem,84,22,Bordeaux,Côtes de Bourg,NA,Roger Voss,@vossroger,Château Kalon Nodoz 2012 Carpe Diem  (Côtes de Bourg),Bordeaux-style Red Blend,Château Kalon Nodoz
2163,US,"High-toned aromatics complement aggressive, unintegrated flavors of raw wood. It's lumber, not toast, that you taste, along with bitter tannins and little evidence of ripe fruit.",Premier Cuvée,84,85,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Wetzel Estate 2012 Premier Cuvée Pinot Noir (Willamette Valley),Pinot Noir,Wetzel Estate
2223,US,"Shrouds of leafy herbs and savory stems lend a fresh tone to this brisk yet fruity, concentrated Cab. Crisp blackberry and currant flavors shine bright and pert on the palate, framed squarely by lingering strikes of tannin and acidity.",NA,88,15,New York,Finger Lakes,Finger Lakes,Anna Lee C. Iijima,NA,Fulkerson 2012 Cabernet Sauvignon (Finger Lakes),Cabernet Sauvignon,Fulkerson
2448,Italy,"Made from old vines of Cesanese, this structured red offers an intriguing fragrance of violets, rose, red berry, scorched earth and a whiff of nutmeg. The bright, juicy palate delivers wild cherry, orange peel, clove and baking spice alongside supple, smooth tannins.",Amarasco,90,20,Central Italy,Lazio,NA,Kerin O’Keefe,@kerinokeefe,Principe Pallavicini 2012 Amarasco Cesanese (Lazio),Cesanese,Principe Pallavicini
2464,France,"Big structure underlies this wine, very firm and dark. It has layers of dry tannins, big fruit and concentrated structure. The dryness at the heart of the wine will allow it to age well with its powerful structure and juicy aftertaste. Drink from 2020.",NA,90,NA,Bordeaux,Pessac-Léognan,NA,Roger Voss,@vossroger,Château Picque Caillou 2012  Pessac-Léognan,Bordeaux-style Red Blend,Château Picque Caillou
2498,US,"A fairly uncommon grape for the entire Central Coast, this bottling offers squeezed blueberry and dark purple fruit aromas bolstered by black pepper and black rocks. Lighter in body than expected upon the sip, the palate shows cola, bright cranberry juice and a sandalwood spice that makes it very easy to drink.",NA,88,40,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Lone Madrone 2012 Barbera (Paso Robles),Barbera,Lone Madrone
2677,US,"L'Ecole tackles, with great success, two of the least-recognized strengths of Washington viticulture: Sémillon and Chenin Blanc. Here the blend includes 13% Sauvignon Blanc. It's well built, full bodied, with a mix of citrus and stone fruits, generous acidity, and some finishing skin flavors putting a slightly bitter frame around it.",NA,90,15,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,L'Ecole No. 41 2012 Sémillon (Columbia Valley (WA)),Sémillon,L'Ecole No. 41
2678,US,"This wine is mostly Sémillon, with Sauvignon Blanc filling in the rest. It's one of the rare white wines from the Walla Walla AVA, graceful, full-bodied and tasting of fig and green banana. Just recently bottled, it still carries a bit of yeast in the nose and in the finish. Give it another few months to pull itself together.",Seven Hills Vineyard Estate Luminesce,90,20,Washington,Walla Walla Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,L'Ecole No. 41 2012 Seven Hills Vineyard Estate Luminesce Semillon-Sauvignon Blanc (Walla Walla Valley (WA)),Semillon-Sauvignon Blanc,L'Ecole No. 41
2912,Germany,"Dust and pollen notes linger from nose to finish on this dry, full-bodied Riesling. Apple and pear flavors are a tad savory, but brightened by crisp lemon acidity. A refreshing and easy drinking wine.",Herrenberg Alte Reben Trocken,86,42,Mosel,NA,NA,Anna Lee C. Iijima,NA,Maximin Grünhäuser 2012 Herrenberg Alte Reben Trocken Riesling (Mosel),Riesling,Maximin Grünhäuser
3254,US,"Flavors of berry, vanilla and tar form around thick, rich tannins, giving this wine a puckering quality that may benefit from opening before enjoying. The finish is sturdy and robust in leathery black pepper.",Winemaker Selection,86,55,California,Sonoma County,Sonoma,Virginie Boone,@vboone,Rosenblum 2012 Winemaker Selection Zinfandel (Sonoma County),Zinfandel,Rosenblum
3333,France,"This is a generous, rounded and very perfumed wine. Candy and bubble gum flavors give sweetness that contrasts with the acidity.",Château de Messey Les Crets,84,23,Burgundy,Mâcon-Chardonnay,NA,Roger Voss,@vossroger,Demessey 2012 Château de Messey Les Crets  (Mâcon-Chardonnay),Chardonnay,Demessey
3410,Spain,"Yeasty aromas are devoid of fruit, commitment and minerality, and instead smell oddly floral and unconvincing. A waxy, wan palate and oaky flavors of clove finish with resiny, pushy spice notes. This tastes overly oaky and resiny, like the winery's Rioja white called La Capellanía but without the goods.",La Comtesse,83,60,Galicia,Rías Baixas,NA,Michael Schachner,@wineschach,Pazo de Barrantes 2012 La Comtesse Albariño (Rías Baixas),Albariño,Pazo de Barrantes
3419,US,"Aromas of blueberries, beef roast and fudge give way to a light, straightforward palate of purple fruit. It's a clean wine, but not very complex.",Especial,86,40,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Peachy Canyon 2012 Especial Zinfandel (Paso Robles),Zinfandel,Peachy Canyon
3690,France,"Soft and full-bodied, this offers bright apple and citrus fruits layered with toast from wood aging. Under the broad exterior, the wine is developing more tangy, zesty fruits and a tight texture. It needs to age to bring everything together. Drink from 2017.",Vaillons Premier Cru,91,35,Burgundy,Chablis,NA,Roger Voss,@vossroger,La Chablisienne 2012 Vaillons Premier Cru  (Chablis),Chardonnay,La Chablisienne
3694,Italy,"Made from 80-year-old Glera vines that have never been doused with herbicides or pesticides, this boasts an enticing floral fragrance of jasmine and honeysuckle. The elegant, reserved palate has a pristine quality, delivering green apple, lemon zest, nectarine, pastry cream, herb and mineral alongside a fine perlage. It finishes crisp and clean.",Dosaggio Zero,91,30,Veneto,Valdobbiadene Prosecco Superiore,NA,Kerin O’Keefe,@kerinokeefe,Ca' dei Zago 2012 Dosaggio Zero  (Valdobbiadene Prosecco Superiore),Glera,Ca' dei Zago
3706,Germany,"Smoke and crushed mineral notes open this dry, lusciously textured Riesling. It's slightly savory on the palate, with layers of apple and pear struck by zesty lime and lemon acidity. Powerful and structured, it penetrates long and lean on the finish.",Brauneberger Juffer Trocken GG,91,42,Mosel,NA,NA,Anna Lee C. Iijima,NA,Fritz Haag 2012 Brauneberger Juffer Trocken GG Riesling (Mosel),Riesling,Fritz Haag
3775,US,"Grown in a celebrated vineyard, this Pinot isn't showing well at this point. It's heavy and soft, and the raspberry-cherry flavors are compromised by a vegetal quality. Decant and drink up.",Gap's Crown Vineyard,86,54,California,Sonoma Coast,Sonoma,NA,NA,Sojourn 2012 Gap's Crown Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,Sojourn
3783,France,"Typically spicy, this wine is all about intense perfumes. Very soft, ripe and rounded, it will be better as a sweet apéritif than with food.",NA,86,20,Alsace,Alsace,NA,Roger Voss,@vossroger,Henri Schoenheitz 2012 Gewurztraminer (Alsace),Gewürztraminer,Henri Schoenheitz
3815,France,"Les Cimels is a solid, entry-level Costières de Nîmes blend of Syrah, Carignan and Grenache. Blackberry fruit dominates this full-bodied red, picking up intriguing tarry notes and glancing those with crisp, citrusy acids. Long and mouthwatering on the finish.",Les Cimels,88,20,Rhône Valley,Costières de Nîmes,NA,Joe Czerwinski,@JoeCz,Château d'Or et de Gueules 2012 Les Cimels Red (Costières de Nîmes),Rhône-style Red Blend,Château d'Or et de Gueules
4000,Spain,Minerally black plum and boysenberry aromas set up a rubbery palate with medium weight and intensity. Generic but happy flavors of blackberry and cassis finish with dry spice and rubbery notes  as well as length and freshness.,g Dehesa Gago,88,18,Northern Spain,Toro,NA,Michael Schachner,@wineschach,Telmo Rodríguez 2012 g Dehesa Gago  (Toro),Tinta de Toro,Telmo Rodríguez
4008,US,"Roughly half stainless-fermented Sauvignon Blanc and half barrel-fermented Sémillon, this has noticeable sweetness that puts a sugary edge on the flavors. Pineapple and Meyer lemon fruits are round and full-bodied. This should be chilled to cut down some of the sugary flavors.",Klipsun Vineyard Blanc,88,25,Washington,Red Mountain,Columbia Valley,Paul Gregutt,@paulgwine ,Covington 2012 Klipsun Vineyard Blanc Sauvignon Blanc-Semillon (Red Mountain),Sauvignon Blanc-Semillon,Covington
